City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
1,Jamestown,US,79.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Matara,LK,79.93,clear sky,5.9485,80.5353,Amaloh Boutique Resort
4,Palmer,US,86.5,scattered clouds,42.1584,-72.3287,Wedgewood Motel
5,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Athens,GR,86.25,clear sky,37.9795,23.7162,Safestay Athens
7,Hami,CN,81.64,overcast clouds,42.8,93.45,Laoyutang Resort
8,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
9,Itoman,JP,78.82,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
10,Lorengau,PG,81.57,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
11,Lalmohan,BD,82.22,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
12,Tricase,IT,86.32,clear sky,39.9304,18.3553,Hotel Adriatico
13,Sinnamary,GF,82.18,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
14,Bethel,US,86.65,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
15,Saharsa,IN,83.3,overcast clouds,25.8833,86.6,SPOT ON 61627 Golden Plaza SPOT
16,Gizo,SB,81.43,clear sky,-8.103,156.8419,Imagination Island
17,Malvern,US,87.35,light rain,34.3623,-92.813,Americas Best Value Inn Malvern
18,Hithadhoo,MV,83.86,light rain,-0.6,73.0833,Scoop Guest House
19,Maebaru,JP,82.08,overcast clouds,33.55,130.2,Guest house Kotonoha
20,Namatanai,PG,78.39,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
21,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
22,Ouro Preto Do Oeste,BR,86.65,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
23,Samarai,PG,80.22,few clouds,-10.6167,150.6667,Nuli Sapi
24,Unai,BR,84.83,clear sky,-16.3575,-46.9061,Hotel Regente
25,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
26,Komsomolskiy,UZ,82.36,clear sky,40.4272,71.7189,Ikathouse
27,Morro Bay,US,81.72,few clouds,35.3658,-120.8499,Inn at Morro Bay
28,Laguna,US,79.14,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
29,George Town,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
30,Douglas,US,81.55,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
31,Acajutla,SV,83.66,overcast clouds,13.5928,-89.8275,Laureles
32,Chitral,PK,80.44,clear sky,35.8462,71.7858,PTDC Motel Chitral
33,Maumere,ID,79.12,light rain,-8.6199,122.2111,Sylvia Hotel
34,Nabinagar,BD,78.91,broken clouds,23.8917,90.9733,ওমান হাউজ
35,Davila,PH,82.31,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
36,Aklavik,CA,80.67,few clouds,68.2191,-135.0107,Aklavik Inn
37,La Rioja,ES,85.78,light rain,42.25,-2.5,Casa Concejos
38,Ambon,ID,79.23,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
39,Bairiki,KI,80.65,light rain,1.3292,172.9752,Tarawa Boutique Hotel
40,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
41,Bathsheba,BB,85.05,light rain,13.2167,-59.5167,Atlantis Hotel
42,Kirakira,SB,80.38,light rain,-10.4544,161.9205,SanBiz Lodge
43,Hirara,JP,83.59,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
44,Alghero,IT,78.89,clear sky,40.5589,8.3181,Smy Carlos V Alghero
45,Mattawa,US,87.01,scattered clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
46,Spring Hill,US,85.84,heavy intensity rain,28.4769,-82.5255,Millennium Suites Llc
47,Berlevag,NO,80.6,clear sky,70.8578,29.0864,Kvitbrakka
48,Kavieng,PG,82.11,light rain,-2.5744,150.7967,Nusa Island Retreat
49,Banda Aceh,ID,81.32,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
50,Kieta,PG,78.04,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
